Town,MH Only,SA Only,MH & SA,Total
Abington,1,3,1,5
Amston,24,38,5,67
Andover,29,27,6,62
Ansonia,511,453,55,1019
Ashford,49,74,7,130
Avon,27,125,2,154
Baltic,42,46,1,89
Bantam,21,21,2,44
Barkhamsted,15,41,2,58
Beacon Falls,31,114,7,152
Berlin,39,170,12,221
Bethany,15,47,4,66
Bethel,113,200,15,328
Bethlehem,37,33,5,75
Bloomfield,306,262,21,589
Bolton,64,48,7,119
Bozrah,39,33,2,74
Branford,512,375,87,974
Bridgeport,2363,2904,508,5775
Bridgewater,5,14,1,20
Bristol,426,1478,140,2044
Broad Brook,158,73,8,239
Brookfield,87,148,15,250
Brooklyn,169,109,16,294
Burlington,14,128,5,147
Canaan,32,36,5,73
Canterbury,42,65,9,116
Canton,24,91,3,118
Centerbrook,17,11,1,29
Central Village,21,15,1,37
Chaplin,45,41,9,95
Cheshire,120,187,16,323
Chester,26,36,5,67
Clinton,87,202,15,304
Cobalt,1,4,1,6
Colchester,97,196,22,315
Colebrook,8,13,2,23
Collinsville,6,16,-,22
Columbia,53,56,5,114
Cornwall Bridge,7,3,-,10
Cos Cob,28,31,1,60
Coventry,141,152,22,315
Cromwell,86,176,13,275
Danbury,1038,1145,166,2349
Danielson,371,218,62,651
Darien,46,43,5,94
Dayville,181,100,14,295
Deep River,43,77,3,123
Derby,243,298,44,585
Durham,27,69,1,97
East Berlin,2,23,1,26
East Canaan,2,7,-,9
East Granby,55,49,5,109
East Haddam,16,52,3,71
East Hampton,76,169,15,260
East Hartford,1814,783,159,2756
East Hartland,5,12,2,19
East Haven,515,547,97,1159
East Killingly,3,2,1,6
East Lyme,21,62,2,85
East Norwalk,11,4,-,15
East Windsor,174,80,17,271
East Woodstock,3,3,-,6
Eastford,8,15,2,25
Easton,19,41,-,60
Ellington,150,138,17,305
Elmwood,1,5,-,6
Enfield,1506,644,116,2266
Essex,31,10,3,44
Fairfield,183,325,25,533
Falls Village,6,10,2,18
Farmington,45,170,12,227
Forestville,3,49,3,55
Franklin,4,10,1,15
Gales Ferry,41,83,6,130
Gaylordsville,9,13,1,23
Gilman,2,3,1,6
Glastonbury,266,200,29,495
Goshen,30,29,2,61
Granby,66,58,5,129
Greenwich,175,153,12,340
Griswold,34,80,5,119
Grosvenor Dale,4,3,1,8
Groton,310,400,38,748
Guilford,153,165,42,360
Haddam,19,13,1,33
Haddam Neck,1,19,2,22
Hamden,576,458,59,1093
Hampton,25,56,3,84
Hanover,-,5,1,6
Hartford,3541,4924,813,9278
Harwinton,48,38,5,91
Hebron,38,55,4,97
Higganum,25,44,5,74
Huntington,1,9,-,10
Ivoryton,9,28,2,39
Jewett City,135,124,15,274
Kensington,22,69,5,96
Kent,32,21,2,55
Killingly,4,1,2,7
Killingworth,24,54,-,78
Lakeville,14,11,2,27
Lebanon,61,101,20,182
Ledyard,48,90,9,147
Lisbon,36,64,4,104
Litchfield,86,51,7,144
Madison,76,144,18,238
Manchester,2086,829,162,3077
Mansfield,40,55,9,104
Mansfield Center,34,31,7,72
Marion,3,7,-,10
Marlborough,41,65,10,116
Meriden,1206,1023,202,2431
Middlebury,43,60,3,106
Middlefield,11,24,4,39
Middletown,993,931,160,2084
Milford,808,723,138,1669
Milldale,3,13,1,17
Monroe,37,159,7,203
Montville,14,21,5,40
Moodus,19,40,4,63
Moosup,99,112,13,224
Morris,23,26,3,52
Mystic,86,94,4,184
Naugatuck,380,552,36,968
New Britain,1048,2288,315,3651
New Canaan,58,70,5,133
New Fairfield,43,111,9,163
New Hartford,37,63,6,106
New Haven,3577,2670,715,6962
New London,779,773,146,1698
New Milford,359,380,56,795
New Preston,9,12,2,23
New Preston Marble Dale,-,9,1,10
Newington,264,355,26,645
Newtown,74,141,7,222
Niantic,49,144,18,211
Noank,7,10,-,17
Norfolk,19,22,1,42
North Branford,101,101,11,213
North Canaan,2,8,1,11
North Franklin,9,7,-,16
North Granby,13,17,3,33
North Grosvenordale,63,32,6,101
North Haven,192,223,26,441
North Stonington,21,56,4,81
North Windham,38,40,7,85
Northfield,12,17,2,31
Northford,39,66,9,114
Norwalk,1656,898,147,2701
Norwich,1137,863,160,2160
Oakdale,51,77,9,137
Oakville,95,99,9,203
Old Greenwich,12,8,2,22
Old Lyme,35,79,4,118
Old Saybrook,37,92,10,139
Oneco,3,9,2,14
Orange,58,117,13,188
OTHER,1645,1448,188,3281
Oxford,73,174,15,262
Pawcatuck,67,99,9,175
Pine Meadow,-,8,1,9
Plainfield,111,101,11,223
Plainville,92,401,36,529
Plantsville,29,122,12,163
Pleasant Valley,3,5,-,8
Plymouth,11,50,8,69
Pomfret,6,7,-,13
Pomfret Center,27,18,3,48
Poquetanuck,7,5,2,14
Portland,95,128,12,235
Preston,36,54,6,96
Prospect,62,83,4,149
Putnam,249,158,37,444
Quaker Hill,25,45,4,74
Quinebaug,8,3,-,11
Redding,21,52,2,75
Ridgefield,58,135,15,208
Riverside,12,26,2,40
Riverton,8,10,-,18
Rockfall,13,14,1,28
Rockville,89,53,12,154
Rocky Hill,171,193,18,382
Rogers,12,6,5,23
Rowayton,3,4,-,7
Roxbury,14,15,5,34
Salem,17,39,1,57
Salisbury,4,17,2,23
Sandy Hook,27,119,9,155
Scotland,8,10,1,19
Seymour,229,296,30,555
Sharon,15,22,6,43
Shelton,323,571,45,939
Sherman,17,29,3,49
Simsbury,69,109,5,183
Somers,171,94,11,276
Somersville,6,3,2,11
South Glastonbury,18,31,2,51
South Kent,4,8,-,12
South Killingly,6,5,3,14
South Norwalk,27,4,3,34
South Windham,4,5,1,10
South Windsor,243,193,13,449
Southbury,92,164,9,265
Southington,86,485,33,604
Southport,9,17,-,26
Stafford,24,38,5,67
Stafford Springs,181,172,22,375
Staffordville,4,1,-,5
Stamford,1933,987,149,3069
Sterling,36,51,10,97
Stonington,17,52,4,73
Storrs,57,61,3,121
Storrs Mansfield,9,11,-,20
Stratford,294,736,42,1072
Suffield,158,65,6,229
Taftville,71,74,13,158
Tariffville,16,14,1,31
Terryville,68,203,11,282
Thomaston,78,116,8,202
Thompson,37,36,5,78
Tolland,91,139,12,242
Torrington,1386,731,147,2264
Trumbull,85,244,15,344
Uncasville,114,165,18,297
Union,6,5,-,11
Unionville,16,101,3,120
Vernon,483,298,35,816
Vernon Rockville,85,56,12,153
Voluntown,26,42,2,70
Wallingford,230,484,49,763
Wapping,4,5,-,9
Warren,4,14,1,19
Warrenville,3,4,-,7
Washington,5,13,1,19
Washington Depot,8,11,-,19
Waterbury,3454,2741,348,6543
Waterford,99,204,21,324
Watertown,141,149,18,308
Wauregan,25,25,3,53
Weatogue,11,18,-,29
West Ashford,2,3,-,5
West Cornwall,7,3,-,10
West Granby,6,5,2,13
West Hartford,389,526,31,946
West Haven,891,971,139,2001
West Simsbury,9,34,1,44
West Stafford,-,6,-,6
West Suffield,51,18,7,76
Westbrook,53,90,9,152
Weston,25,36,1,62
Westport,142,114,10,266
Wethersfield,210,275,24,509
Willimantic,781,768,214,1763
Willington,73,79,5,157
Wilton,55,79,7,141
Winchester,6,2,2,10
Winchester Center,1,5,1,7
Windham,33,47,9,89
Windsor,440,310,42,792
Windsor Locks,336,169,32,537
Winsted,302,237,31,570
Wolcott,118,203,18,339
Woodbridge,23,50,5,78
Woodbury,69,77,3,149
Woodstock,61,43,3,107
Woodstock Valley,11,5,2,18
Yalesville,23,42,5,70
Yantic,2,6,-,8
